audit_id,family_id,partition,source,domain,message_source,message_domain,need,cost
R2V2-0132,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,medium
R2V2-0133,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,high
R2V2-0134,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,no_active
R2V2-0135,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,zero
R2V2-0136,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,low
R2V2-0137,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,medium
R2V2-0138,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,high
R2V2-0139,r2bv2_openai_gpt41_mini_07,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,no_active
R2V2-0140,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,zero
R2V2-0141,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,low
R2V2-0142,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,medium
R2V2-0143,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,high
R2V2-0144,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,no_active
R2V2-0145,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,zero
R2V2-0146,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,low
R2V2-0147,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,medium
R2V2-0148,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,high
R2V2-0149,r2bv2_openai_gpt4o_mini_00,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,no_active
R2V2-0150,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,zero
R2V2-0151,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,low
R2V2-0152,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,medium
R2V2-0153,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,high
R2V2-0154,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,no_active
R2V2-0155,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,urgent,zero
R2V2-0156,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,urgent,low
R2V2-0157,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,urgent,medium
R2V2-0158,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,urgent,high
R2V2-0159,r2bv2_openai_gpt4o_mini_05,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,urgent,no_active
