audit_id,form,source_audit_id,presentation,duplicate_of_audit_id,stratum,gold_kind,gold_rating_field,gold_expected_range,family_id,label,arm_id,partition,source,domain,message_source,message_domain,need,cost
HC-A-0024,A,G2V2-00093,original,,S1,,,,wp1v2_google_gemini25_flash_04,Ctext_new,low,,,,,,,
HC-A-0025,A,G2V2-00052,original,,S3,persona_instruction,persona_caring_1_to_5,4:5,wp1v2_google_gemini25_flash_00,P_new,caring,,,,,,,
HC-A-0026,A,G2V2-00173,original,,S3,persona_instruction,persona_caring_1_to_5,1:2,wp1v2_openai_gpt4o_mini_06,P_new,neutral,,,,,,,
HC-A-0027,A,G2V2-00384,original,,S2,,,,wp3v2_openai_gpt41_mini_05,observation,archived_fictional,,,,,,,
HC-A-0028,A,G2V2-00433,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,cost,zero,,,,,,,
HC-A-0029,A,G2V2-00214,original,,S2,,,,wp3v2_anthropic_haiku45_10,observation,current_fictional,,,,,,,
HC-A-0030,A,G2V2-00140,original,,S1,,,,wp1v2_openai_gpt41_mini_02,Ctext_new,zero,,,,,,,
HC-A-0031,A,G2V2-00029,original,,S3,persona_instruction,persona_caring_1_to_5,1:2,wp1v2_anthropic_haiku45_07,P_new,neutral,,,,,,,
HC-A-0032,A,G2V2-00092,original,,S1,,,,wp1v2_google_gemini25_flash_04,Ctext_new,zero,,,,,,,
HC-A-0033,A,G2V2-00156,original,,S3,,,,wp1v2_openai_gpt41_mini_06,L_new,current_actual,,,,,,,
HC-A-0034,A,G2V2-00401,original,,S2,,,,wp3v2_openai_gpt41_mini_05,persona,neutral_caring,,,,,,,
HC-A-0035,A,G2V2-00149,original,,S3,persona_instruction,persona_caring_1_to_5,1:2,wp1v2_openai_gpt41_mini_06,P_new,neutral,,,,,,,
HC-A-0036,A,G2V2-00213,original,,S2,,,,wp3v2_anthropic_haiku45_10,observation,current_actual,,,,,,,
HC-A-0037,A,G2V2-00158,original,,S3,,,,wp1v2_openai_gpt41_mini_06,L_new,archived_actual,,,,,,,
HC-A-0038,A,G2V2-00232,original,,S2,,,,wp3v2_anthropic_haiku45_10,persona,neutral_neutral,,,,,,,
HC-A-0039,A,G2V2-00164,original,,S1,,,,wp1v2_openai_gpt41_mini_06,Ctext_new,zero,,,,,,,
HC-A-0040,A,G2V2-00036,original,,S3,,,,wp1v2_anthropic_haiku45_07,L_new,current_actual,,,,,,,
HC-A-0041,A,G2V2-00179,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,Spos_new,neutral,,,,,,,
HC-A-0042,A,G2V2-00189,original,,S1,,,,wp1v2_openai_gpt4o_mini_06,Ctext_new,low,,,,,,,
HC-A-0043,A,G2V2-00433,retest,HC-A-0028,S2,,,,wp3v2_openai_gpt4o_mini_10,cost,zero,,,,,,,
HC-A-0044,A,G2V2-00338,original,,S2,,,,wp3v2_google_gemini25_flash_11,persona,neutral_caring,,,,,,,
HC-A-0045,A,G2V2-00228,original,,S2,,,,wp3v2_anthropic_haiku45_10,persona,current_neutral,,,,,,,
HC-A-0046,A,G2V2-00391,original,,S2,,,,wp3v2_openai_gpt41_mini_05,cost,zero,,,,,,,
HC-A-0047,A,G2V2-00333,retest,HC-A-0012,S2,,,,wp3v2_google_gemini25_flash_11,persona,current_neutral,,,,,,,
HC-A-0048,A,G2V2-00382,original,,S2,,,,wp3v2_openai_gpt41_mini_05,observation,current_fictional,,,,,,,
HC-A-0049,A,G2V2-00427,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,resolved_neutral_controls,resolved_current,,,,,,,
HC-A-0050,A,G2V2-00069,original,,S1,,,,wp1v2_google_gemini25_flash_00,Ctext_new,low,,,,,,,
HC-A-0051,A,G2V2-00141,original,,S1,,,,wp1v2_openai_gpt41_mini_02,Ctext_new,low,,,,,,,
HC-A-0052,A,G2V2-00039,original,,S3,,,,wp1v2_anthropic_haiku45_07,L_new,archived_fictional,,,,,,,
HC-A-0053,A,G2V2-00383,original,,S2,,,,wp3v2_openai_gpt41_mini_05,observation,archived_actual,,,,,,,
HC-A-0054,A,G2V2-00059,original,,S3,,,,wp1v2_google_gemini25_flash_00,Spos_new,neutral,,,,,,,
HC-A-0055,A,G2V2-00322,original,,S2,,,,wp3v2_google_gemini25_flash_11,resolved_neutral_controls,resolved_current,,,,,,,
HC-A-0056,A,G2V2-00424,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,observation,current_fictional,,,,,,,
HC-A-0057,A,G2V2-00063,original,,S3,,,,wp1v2_google_gemini25_flash_00,L_new,archived_fictional,,,,,,,
HC-A-0058,A,G2V2-00034,original,,S3,,,,wp1v2_anthropic_haiku45_07,Spos_new,positive,,,,,,,
HC-A-0059,A,G2V2-00385,original,,S2,,,,wp3v2_openai_gpt41_mini_05,resolved_neutral_controls,resolved_current,,,,,,,
HC-A-0060,A,G2V2-00223,original,,S2,,,,wp3v2_anthropic_haiku45_10,cost,zero,,,,,,,
HC-A-0061,A,G2V2-00394,original,,S2,,,,wp3v2_openai_gpt41_mini_05,cost,high,,,,,,,
HC-A-0062,A,G2V2-00035,original,,S3,,,,wp1v2_anthropic_haiku45_07,Spos_new,neutral,,,,,,,
HC-A-0063,A,G2V2-00157,original,,S3,,,,wp1v2_openai_gpt41_mini_06,L_new,current_fictional,,,,,,,
HC-A-0064,A,G2V2-00068,original,,S1,,,,wp1v2_google_gemini25_flash_00,Ctext_new,zero,,,,,,,
HC-A-0065,A,G2V2-00318,original,,S2,,,,wp3v2_google_gemini25_flash_11,observation,current_actual,,,,,,,
HC-A-0066,A,G2V2-00320,original,,S2,,,,wp3v2_google_gemini25_flash_11,observation,archived_actual,,,,,,,
HC-A-0067,A,G2V2-00233,retest,HC-A-0005,S2,,,,wp3v2_anthropic_haiku45_10,persona,neutral_caring,,,,,,,
HC-A-0068,A,G2V2-00045,original,,S1,,,,wp1v2_anthropic_haiku45_07,Ctext_new,low,,,,,,,
HC-A-0069,A,G2V2-00038,original,,S3,,,,wp1v2_anthropic_haiku45_07,L_new,archived_actual,,,,,,,
HC-A-0070,A,G2V2-00063,retest,HC-A-0057,S3,,,,wp1v2_google_gemini25_flash_00,L_new,archived_fictional,,,,,,,
HC-A-0071,A,G2V2-00117,original,,S1,,,,wp1v2_openai_gpt41_mini_00,Ctext_new,low,,,,,,,
HC-A-0072,A,G2V2-00438,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,persona,current_neutral,,,,,,,
HC-A-0073,A,G2V2-00154,original,,S3,,,,wp1v2_openai_gpt41_mini_06,Spos_new,positive,,,,,,,
HC-A-0074,A,G2V2-00183,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,L_new,archived_fictional,,,,,,,
HC-A-0075,A,G2V2-00442,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,persona,neutral_neutral,,,,,,,
HC-A-0076,A,G2V2-00443,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,persona,neutral_caring,,,,,,,
HC-A-0077,A,G2V2-00044,original,,S1,,,,wp1v2_anthropic_haiku45_07,Ctext_new,zero,,,,,,,
HC-A-0078,A,G2V2-00426,retest,HC-A-0013,S2,,,,wp3v2_openai_gpt4o_mini_10,observation,archived_fictional,,,,,,,
HC-A-0079,A,G2V2-00053,original,,S3,persona_instruction,persona_caring_1_to_5,1:2,wp1v2_google_gemini25_flash_00,P_new,neutral,,,,,,,
HC-A-0080,A,G2V2-00178,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,Spos_new,positive,,,,,,,
HC-A-0081,A,G2V2-00229,original,,S2,,,,wp3v2_anthropic_haiku45_10,persona,current_caring,,,,,,,
HC-A-0082,A,G2V2-00218,original,,S2,,,,wp3v2_anthropic_haiku45_10,resolved_neutral_controls,neutral_current,,,,,,,
HC-A-0083,A,G2V2-00423,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,observation,current_actual,,,,,,,
HC-A-0084,A,G2V2-00058,original,,S3,,,,wp1v2_google_gemini25_flash_00,Spos_new,positive,,,,,,,
HC-A-0085,A,G2V2-00068,retest,HC-A-0064,S1,,,,wp1v2_google_gemini25_flash_00,Ctext_new,zero,,,,,,,
HC-A-0086,A,G2V2-00439,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,persona,current_caring,,,,,,,
HC-A-0087,A,G2V2-00381,original,,S2,,,,wp3v2_openai_gpt41_mini_05,observation,current_actual,,,,,,,
HC-A-0088,A,G2V2-00061,original,,S3,,,,wp1v2_google_gemini25_flash_00,L_new,current_fictional,,,,,,,
HC-A-0089,A,G2V2-00181,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,L_new,current_fictional,,,,,,,
HC-A-0090,A,G2V2-00159,original,,S3,,,,wp1v2_openai_gpt41_mini_06,L_new,archived_fictional,,,,,,,
HC-A-0091,A,G2V2-00093,retest,HC-A-0024,S1,,,,wp1v2_google_gemini25_flash_04,Ctext_new,low,,,,,,,
HC-A-0092,A,G2V2-00092,retest,HC-A-0032,S1,,,,wp1v2_google_gemini25_flash_04,Ctext_new,zero,,,,,,,
HC-A-0093,A,G2V2-00180,original,,S3,,,,wp1v2_openai_gpt4o_mini_06,L_new,current_actual,,,,,,,
HC-A-0094,A,G2V2-00400,original,,S2,,,,wp3v2_openai_gpt41_mini_05,persona,neutral_neutral,,,,,,,
HC-A-0095,A,G2V2-00318,retest,HC-A-0065,S2,,,,wp3v2_google_gemini25_flash_11,observation,current_actual,,,,,,,
HC-A-0096,A,G2V2-00216,original,,S2,,,,wp3v2_anthropic_haiku45_10,observation,archived_fictional,,,,,,,
HC-A-0097,A,G2V2-00183,retest,HC-A-0074,S3,,,,wp1v2_openai_gpt4o_mini_06,L_new,archived_fictional,,,,,,,
HC-A-0098,A,G2V2-00164,retest,HC-A-0039,S1,,,,wp1v2_openai_gpt41_mini_06,Ctext_new,zero,,,,,,,
HC-A-0099,A,G2V2-00058,retest,HC-A-0084,S3,,,,wp1v2_google_gemini25_flash_00,Spos_new,positive,,,,,,,
HC-A-0100,A,G2V2-00428,original,,S2,,,,wp3v2_openai_gpt4o_mini_10,resolved_neutral_controls,neutral_current,,,,,,,
HC-A-0101,A,G2V2-00062,original,,S3,,,,wp1v2_google_gemini25_flash_00,L_new,archived_actual,,,,,,,
HC-A-0102,A,G2V2-00165,original,,S1,,,,wp1v2_openai_gpt41_mini_06,Ctext_new,low,,,,,,,
HC-A-0103,A,G2V2-00037,original,,S3,,,,wp1v2_anthropic_haiku45_07,L_new,current_fictional,,,,,,,
HC-A-0104,A,G2V2-00188,original,,S1,,,,wp1v2_openai_gpt4o_mini_06,Ctext_new,zero,,,,,,,
HC-A-0105,A,G2V2-00172,original,,S3,persona_instruction,persona_caring_1_to_5,4:5,wp1v2_openai_gpt4o_mini_06,P_new,caring,,,,,,,
HC-A-0106,A,G2V2-00159,retest,HC-A-0090,S3,,,,wp1v2_openai_gpt41_mini_06,L_new,archived_fictional,,,,,,,
HC-A-0107,A,G2V2-00323,original,,S2,,,,wp3v2_google_gemini25_flash_11,resolved_neutral_controls,neutral_current,,,,,,,
HC-A-0108,A,G2V2-00021,original,,S1,,,,wp1v2_anthropic_haiku45_04,Ctext_new,low,,,,,,,
HC-A-0109,A,G2V2-00215,original,,S2,,,,wp3v2_anthropic_haiku45_10,observation,archived_actual,,,,,,,
HC-A-0110,A,G2V2-00334,original,,S2,,,,wp3v2_google_gemini25_flash_11,persona,current_caring,,,,,,,
HC-B-0000,B,R2V2-0116,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,low
HC-B-0001,B,R2V2-0117,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,medium
HC-B-0002,B,R2V2-0073,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,high
HC-B-0003,B,R2V2-0102,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,medium
HC-B-0004,B,R2V2-0128,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_02,,,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,urgent,high
HC-B-0005,B,R2V2-0058,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_06,,,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,high
HC-B-0006,B,R2V2-0124,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_02,,,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,no_active
HC-B-0007,B,R2V2-0132,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,medium
HC-B-0008,B,R2V2-0019,original,,R2b-census,,,,r2bv2_anthropic_haiku45_07,,,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,no_active
HC-B-0009,B,R2V2-0106,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,low
HC-B-0010,B,R2V2-0105,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,zero
HC-B-0011,B,R2V2-0131,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,resolved,low
HC-B-0012,B,R2V2-0078,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,high
HC-B-0013,B,R2V2-0084,original,,R2b-census,,,,r2bv2_anthropic_haiku45_06,,,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,resolved,no_active
HC-B-0014,B,R2V2-0098,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,high
HC-B-0015,B,R2V2-0004,original,,R2b-census,,,,r2bv2_anthropic_haiku45_01,,,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,no_active
HC-B-0016,B,R2V2-0060,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_04,,,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,resolved,zero
HC-B-0017,B,R2V2-0009,original,,R2b-census,,,,r2bv2_anthropic_haiku45_01,,,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,no_active
HC-B-0018,B,R2V2-0142,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_00,,,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,medium
HC-B-0019,B,R2V2-0109,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,urgent,no_active
HC-B-0020,B,R2V2-0032,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,medium
HC-B-0021,B,R2V2-0020,original,,R2b-census,,,,r2bv2_google_gemini25_flash_01,,,R2b-v2-dev,google_gemini25_flash,games,openai_gpt41_mini,logistics,resolved,zero
HC-B-0022,B,R2V2-0119,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,no_active
HC-B-0023,B,R2V2-0121,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_02,,,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,low
HC-B-0024,B,R2V2-0014,original,,R2b-census,,,,r2bv2_anthropic_haiku45_07,,,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,no_active
HC-B-0025,B,R2V2-0097,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,urgent,medium
HC-B-0026,B,R2V2-0088,original,,R2b-census,,,,r2bv2_anthropic_haiku45_06,,,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,high
HC-B-0027,B,R2V2-0067,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_04,,,R2b-v2-dev,openai_gpt4o_mini,logistics,anthropic_haiku45,creative,urgent,medium
HC-B-0028,B,R2V2-0135,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,zero
HC-B-0029,B,R2V2-0054,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_06,,,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,no_active
HC-B-0030,B,R2V2-0038,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,high
HC-B-0031,B,R2V2-0050,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_06,,,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,zero
HC-B-0032,B,R2V2-0140,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_00,,,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,zero
HC-B-0033,B,R2V2-0141,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_00,,,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,resolved,low
HC-B-0034,B,R2V2-0055,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_06,,,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,urgent,zero
HC-B-0035,B,R2V2-0070,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,zero
HC-B-0036,B,R2V2-0033,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,high
HC-B-0037,B,R2V2-0093,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,high
HC-B-0038,B,R2V2-0101,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,low
HC-B-0039,B,R2V2-0048,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_01,,,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,high
HC-B-0040,B,R2V2-0094,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,no_active
HC-B-0041,B,R2V2-0100,original,,R2b-census,,,,r2bv2_google_gemini25_flash_04,,,R2b-v2-confirm,google_gemini25_flash,logistics,anthropic_haiku45,moderation,resolved,zero
HC-B-0042,B,R2V2-0000,original,,R2b-census,,,,r2bv2_anthropic_haiku45_01,,,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,resolved,zero
HC-B-0043,B,R2V2-0152,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_05,,,R2b-v2-confirm,openai_gpt4o_mini,creative,openai_gpt41_mini,games,resolved,medium
HC-B-0044,B,R2V2-0031,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,resolved,low
HC-B-0045,B,R2V2-0077,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,medium
HC-B-0046,B,R2V2-0110,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,zero
HC-B-0047,B,R2V2-0136,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,low
HC-B-0048,B,R2V2-0049,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_01,,,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,urgent,no_active
HC-B-0049,B,R2V2-0085,original,,R2b-census,,,,r2bv2_anthropic_haiku45_06,,,R2b-v2-confirm,anthropic_haiku45,community,openai_gpt41_mini,creative,urgent,zero
HC-B-0050,B,R2V2-0146,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_00,,,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,low
HC-B-0051,B,R2V2-0112,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,resolved,medium
HC-B-0052,B,R2V2-0076,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,urgent,low
HC-B-0053,B,R2V2-0123,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_02,,,R2b-v2-confirm,openai_gpt41_mini,education,openai_gpt4o_mini,everyday,resolved,high
HC-B-0054,B,R2V2-0018,original,,R2b-census,,,,r2bv2_anthropic_haiku45_07,,,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,urgent,high
HC-B-0055,B,R2V2-0006,original,,R2b-census,,,,r2bv2_anthropic_haiku45_01,,,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,low
HC-B-0056,B,R2V2-0036,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,low
HC-B-0057,B,R2V2-0137,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,medium
HC-B-0058,B,R2V2-0011,original,,R2b-census,,,,r2bv2_anthropic_haiku45_07,,,R2b-v2-dev,anthropic_haiku45,everyday,openai_gpt4o_mini,creative,resolved,low
HC-B-0059,B,R2V2-0092,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,medium
HC-B-0060,B,R2V2-0091,original,,R2b-census,,,,r2bv2_anthropic_haiku45_03,,,R2b-v2-confirm,anthropic_haiku45,moderation,openai_gpt41_mini,education,resolved,low
HC-B-0061,B,R2V2-0035,original,,R2b-census,,,,r2bv2_google_gemini25_flash_03,,,R2b-v2-dev,google_gemini25_flash,moderation,anthropic_haiku45,work,urgent,zero
HC-B-0062,B,R2V2-0149,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_00,,,R2b-v2-confirm,openai_gpt4o_mini,work,google_gemini25_flash,logistics,urgent,no_active
HC-B-0063,B,R2V2-0115,original,,R2b-census,,,,r2bv2_google_gemini25_flash_06,,,R2b-v2-confirm,google_gemini25_flash,community,openai_gpt4o_mini,games,urgent,zero
HC-B-0064,B,R2V2-0008,original,,R2b-census,,,,r2bv2_anthropic_haiku45_01,,,R2b-v2-dev,anthropic_haiku45,games,openai_gpt4o_mini,moderation,urgent,high
HC-B-0065,B,R2V2-0139,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_07,,,R2b-v2-confirm,openai_gpt41_mini,everyday,google_gemini25_flash,community,urgent,no_active
HC-B-0066,B,R2V2-0072,original,,R2b-census,,,,r2bv2_openai_gpt4o_mini_03,,,R2b-v2-dev,openai_gpt4o_mini,moderation,google_gemini25_flash,games,resolved,medium
HC-B-0067,B,R2V2-0053,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_06,,,R2b-v2-dev,openai_gpt41_mini,community,google_gemini25_flash,work,resolved,high
HC-B-0068,B,R2V2-0043,original,,R2b-census,,,,r2bv2_openai_gpt41_mini_01,,,R2b-v2-dev,openai_gpt41_mini,games,anthropic_haiku45,everyday,resolved,high
