audit_id,prompt,current_need_rating_1_to_5,interruption_cost_rating_1_to_5,active_objective_yes_no,notes
R012,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause could mean less time for client feedback and revisions.. A Graphic Designer says: ""I have the brand guidelines; my concept development is ready."" I must choose what to do next. My decision: ",,,,
R013,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause will cause us to miss the campaign launch window entirely.. A Graphic Designer says: ""I have the brand guidelines; my concept development is ready."" I must choose what to do next. My decision: ",,,,
R014,"I am a Art Director. The graphic designer has completed all creative work for the campaign. If I pause now, There is no active objective to interrupt.. A Graphic Designer says: ""I have the brand guidelines; my concept development is ready."" I must choose what to do next. My decision: ",,,,
R015,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause has no impact; the creative process continues.. A Graphic Designer says: ""I need the client's brand guidelines to proceed. My ideas are on hold."" I must choose what to do next. My decision: ",,,,
R016,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause might slightly delay the initial concept presentation.. A Graphic Designer says: ""I need the client's brand guidelines to proceed. My ideas are on hold."" I must choose what to do next. My decision: ",,,,
R017,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause could mean less time for client feedback and revisions.. A Graphic Designer says: ""I need the client's brand guidelines to proceed. My ideas are on hold."" I must choose what to do next. My decision: ",,,,
R018,"I am a Art Director. My active objective is to Develop concept sketches for the new advertising campaign.. If I pause now, A short pause will cause us to miss the campaign launch window entirely.. A Graphic Designer says: ""I need the client's brand guidelines to proceed. My ideas are on hold."" I must choose what to do next. My decision: ",,,,
R019,"I am a Art Director. The graphic designer has completed all creative work for the campaign. If I pause now, There is no active objective to interrupt.. A Graphic Designer says: ""I need the client's brand guidelines to proceed. My ideas are on hold."" I must choose what to do next. My decision: ",,,,
R020,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, A short pause will not affect the lecture timing, though materials remain incomplete.. A teaching assistant says: ""I have completed the slides and they are ready for the class presentation."" I must choose what to do next. My decision: ",,,,
R021,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Delaying slightly compresses preparation but the lecture remains manageable.. A teaching assistant says: ""I have completed the slides and they are ready for the class presentation."" I must choose what to do next. My decision: ",,,,
R022,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Longer delay risks incomplete content and less student engagement.. A teaching assistant says: ""I have completed the slides and they are ready for the class presentation."" I must choose what to do next. My decision: ",,,,
R023,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Excessive delay might force cancellation or poor-quality lecture.. A teaching assistant says: ""I have completed the slides and they are ready for the class presentation."" I must choose what to do next. My decision: ",,,,
R024,"I am a course instructor. No lecture materials are currently being prepared. If I pause now, There is no active objective to interrupt.. A teaching assistant says: ""I have completed the slides and they are ready for the class presentation."" I must choose what to do next. My decision: ",,,,
R025,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, A short pause will not affect the lecture timing, though materials remain incomplete.. A teaching assistant says: ""I need to finish the lecture slides now to ensure smooth delivery tomorrow."" I must choose what to do next. My decision: ",,,,
R026,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Delaying slightly compresses preparation but the lecture remains manageable.. A teaching assistant says: ""I need to finish the lecture slides now to ensure smooth delivery tomorrow."" I must choose what to do next. My decision: ",,,,
R027,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Longer delay risks incomplete content and less student engagement.. A teaching assistant says: ""I need to finish the lecture slides now to ensure smooth delivery tomorrow."" I must choose what to do next. My decision: ",,,,
R028,"I am a course instructor. My active objective is to prepare lecture materials. If I pause now, Excessive delay might force cancellation or poor-quality lecture.. A teaching assistant says: ""I need to finish the lecture slides now to ensure smooth delivery tomorrow."" I must choose what to do next. My decision: ",,,,
R029,"I am a course instructor. No lecture materials are currently being prepared. If I pause now, There is no active objective to interrupt.. A teaching assistant says: ""I need to finish the lecture slides now to ensure smooth delivery tomorrow."" I must choose what to do next. My decision: ",,,,
R030,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, I can relax for a bit while waiting for your response without worry.. A contractor says: ""I’ve received your quote, and I’m ready to schedule the repair."" I must choose what to do next. My decision: ",,,,
R031,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, If I delay, I might have to deal with more issues later.. A contractor says: ""I’ve received your quote, and I’m ready to schedule the repair."" I must choose what to do next. My decision: ",,,,
R032,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, Postponing could lead to further deterioration of the repair area.. A contractor says: ""I’ve received your quote, and I’m ready to schedule the repair."" I must choose what to do next. My decision: ",,,,
R033,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, Waiting too long could result in higher repair costs.. A contractor says: ""I’ve received your quote, and I’m ready to schedule the repair."" I must choose what to do next. My decision: ",,,,
R034,"I am a homeowner. I’m simply enjoying my time at home for now. If I pause now, There is no active objective to interrupt.. A contractor says: ""I’ve received your quote, and I’m ready to schedule the repair."" I must choose what to do next. My decision: ",,,,
R035,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, I can relax for a bit while waiting for your response without worry.. A contractor says: ""I need your quote soon to plan the repairs properly."" I must choose what to do next. My decision: ",,,,
R036,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, If I delay, I might have to deal with more issues later.. A contractor says: ""I need your quote soon to plan the repairs properly."" I must choose what to do next. My decision: ",,,,
R037,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, Postponing could lead to further deterioration of the repair area.. A contractor says: ""I need your quote soon to plan the repairs properly."" I must choose what to do next. My decision: ",,,,
R038,"I am a homeowner. My active objective is to organizing a home repair. If I pause now, Waiting too long could result in higher repair costs.. A contractor says: ""I need your quote soon to plan the repairs properly."" I must choose what to do next. My decision: ",,,,
R039,"I am a homeowner. I’m simply enjoying my time at home for now. If I pause now, There is no active objective to interrupt.. A contractor says: ""I need your quote soon to plan the repairs properly."" I must choose what to do next. My decision: ",,,,
R040,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause has no immediate effect; recruitment is still ongoing.. A Tournament Organizer says: ""I confirmed prize details; registration is live now."" I must choose what to do next. My decision: ",,,,
R041,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause might slightly reduce early sign-ups, but overall numbers will be fine.. A Tournament Organizer says: ""I confirmed prize details; registration is live now."" I must choose what to do next. My decision: ",,,,
R042,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause could mean fewer competitive teams can join, lowering event quality.. A Tournament Organizer says: ""I confirmed prize details; registration is live now."" I must choose what to do next. My decision: ",,,,
R043,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause will cause insufficient player sign-ups, leading to tournament cancellation.. A Tournament Organizer says: ""I confirmed prize details; registration is live now."" I must choose what to do next. My decision: ",,,,
R044,"I am a Game Master. The tournament organizer has completed all recruitment for this season. If I pause now, There is no active objective to interrupt.. A Tournament Organizer says: ""I confirmed prize details; registration is live now."" I must choose what to do next. My decision: ",,,,
R045,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause has no immediate effect; recruitment is still ongoing.. A Tournament Organizer says: ""I need to confirm the prize pool details to post the announcement. Players are waiting."" I must choose what to do next. My decision: ",,,,
R046,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause might slightly reduce early sign-ups, but overall numbers will be fine.. A Tournament Organizer says: ""I need to confirm the prize pool details to post the announcement. Players are waiting."" I must choose what to do next. My decision: ",,,,
R047,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause could mean fewer competitive teams can join, lowering event quality.. A Tournament Organizer says: ""I need to confirm the prize pool details to post the announcement. Players are waiting."" I must choose what to do next. My decision: ",,,,
R048,"I am a Game Master. My active objective is to Recruit new players for the upcoming online tournament.. If I pause now, A short pause will cause insufficient player sign-ups, leading to tournament cancellation.. A Tournament Organizer says: ""I need to confirm the prize pool details to post the announcement. Players are waiting."" I must choose what to do next. My decision: ",,,,
R049,"I am a Game Master. The tournament organizer has completed all recruitment for this season. If I pause now, There is no active objective to interrupt.. A Tournament Organizer says: ""I need to confirm the prize pool details to post the announcement. Players are waiting."" I must choose what to do next. My decision: ",,,,
R050,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, I can take a moment to breathe while awaiting their replies with no issues.. A delivery driver says: ""I’ve received all delivery confirmations, and the schedule is set."" I must choose what to do next. My decision: ",,,,
R051,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, If I wait too long, it could throw off the entire event schedule.. A delivery driver says: ""I’ve received all delivery confirmations, and the schedule is set."" I must choose what to do next. My decision: ",,,,
R052,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, Delays might cause confusion for the event team.. A delivery driver says: ""I’ve received all delivery confirmations, and the schedule is set."" I must choose what to do next. My decision: ",,,,
R053,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, Extended waiting could lead to logistical failures on event day.. A delivery driver says: ""I’ve received all delivery confirmations, and the schedule is set."" I must choose what to do next. My decision: ",,,,
R054,"I am a logistics coordinator. I’m just organizing my workspace for the day. If I pause now, There is no active objective to interrupt.. A delivery driver says: ""I’ve received all delivery confirmations, and the schedule is set."" I must choose what to do next. My decision: ",,,,
R055,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, I can take a moment to breathe while awaiting their replies with no issues.. A delivery driver says: ""I need confirmation on delivery times to finalize the schedule."" I must choose what to do next. My decision: ",,,,
R056,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, If I wait too long, it could throw off the entire event schedule.. A delivery driver says: ""I need confirmation on delivery times to finalize the schedule."" I must choose what to do next. My decision: ",,,,
R057,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, Delays might cause confusion for the event team.. A delivery driver says: ""I need confirmation on delivery times to finalize the schedule."" I must choose what to do next. My decision: ",,,,
R058,"I am a logistics coordinator. My active objective is to arranging shipments for an event. If I pause now, Extended waiting could lead to logistical failures on event day.. A delivery driver says: ""I need confirmation on delivery times to finalize the schedule."" I must choose what to do next. My decision: ",,,,
R059,"I am a logistics coordinator. I’m just organizing my workspace for the day. If I pause now, There is no active objective to interrupt.. A delivery driver says: ""I need confirmation on delivery times to finalize the schedule."" I must choose what to do next. My decision: ",,,,
R060,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Briefly pausing won’t degrade community atmosphere but flags remain unaddressed.. A community member says: ""I have reviewed the flagged posts and taken necessary actions."" I must choose what to do next. My decision: ",,,,
R061,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Short delay might let tensions rise slightly before intervention.. A community member says: ""I have reviewed the flagged posts and taken necessary actions."" I must choose what to do next. My decision: ",,,,
R062,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Longer wait risks escalation of conflicts and user complaints.. A community member says: ""I have reviewed the flagged posts and taken necessary actions."" I must choose what to do next. My decision: ",,,,
R063,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Excessive delay may cause widespread disruption and loss of members.. A community member says: ""I have reviewed the flagged posts and taken necessary actions."" I must choose what to do next. My decision: ",,,,
R064,"I am a forum moderator. No flagged content needs review right now. If I pause now, There is no active objective to interrupt.. A community member says: ""I have reviewed the flagged posts and taken necessary actions."" I must choose what to do next. My decision: ",,,,
R065,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Briefly pausing won’t degrade community atmosphere but flags remain unaddressed.. A community member says: ""I need you to review the flagged posts soon to keep the discussion respectful."" I must choose what to do next. My decision: ",,,,
R066,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Short delay might let tensions rise slightly before intervention.. A community member says: ""I need you to review the flagged posts soon to keep the discussion respectful."" I must choose what to do next. My decision: ",,,,
R067,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Longer wait risks escalation of conflicts and user complaints.. A community member says: ""I need you to review the flagged posts soon to keep the discussion respectful."" I must choose what to do next. My decision: ",,,,
R068,"I am a forum moderator. My active objective is to review flagged user content. If I pause now, Excessive delay may cause widespread disruption and loss of members.. A community member says: ""I need you to review the flagged posts soon to keep the discussion respectful."" I must choose what to do next. My decision: ",,,,
R069,"I am a forum moderator. No flagged content needs review right now. If I pause now, There is no active objective to interrupt.. A community member says: ""I need you to review the flagged posts soon to keep the discussion respectful."" I must choose what to do next. My decision: ",,,,
R070,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, No loss yet if I wait an hour; the designer can use the time for other prep work.. A freelance designer waiting to start next phase says: ""I got the approval email this morning. The timeline is locked in and the designer can start immediately."" I must choose what to do next. My decision: ",,,,
R071,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, A four-hour delay means the designer loses a half-day of billable work.. A freelance designer waiting to start next phase says: ""I got the approval email this morning. The timeline is locked in and the designer can start immediately."" I must choose what to do next. My decision: ",,,,
R072,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, Waiting until tomorrow morning costs us two days of project overlap and pushes the final deadline back.. A freelance designer waiting to start next phase says: ""I got the approval email this morning. The timeline is locked in and the designer can start immediately."" I must choose what to do next. My decision: ",,,,
R073,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, Waiting three days without confirmation means the designer moves to another job and we lose the slot.. A freelance designer waiting to start next phase says: ""I got the approval email this morning. The timeline is locked in and the designer can start immediately."" I must choose what to do next. My decision: ",,,,
R074,"I am a project coordinator. Yesterday afternoon I had no active objective; the previous phase was complete and I was waiting for the scope revision. If I pause now, There is no active objective to interrupt.. A freelance designer waiting to start next phase says: ""I got the approval email this morning. The timeline is locked in and the designer can start immediately."" I must choose what to do next. My decision: ",,,,
R075,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, No loss yet if I wait an hour; the designer can use the time for other prep work.. A freelance designer waiting to start next phase says: ""Client hasn't confirmed the new schedule yet and my designer is standing by. I need their sign-off today."" I must choose what to do next. My decision: ",,,,
R076,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, A four-hour delay means the designer loses a half-day of billable work.. A freelance designer waiting to start next phase says: ""Client hasn't confirmed the new schedule yet and my designer is standing by. I need their sign-off today."" I must choose what to do next. My decision: ",,,,
R077,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, Waiting until tomorrow morning costs us two days of project overlap and pushes the final deadline back.. A freelance designer waiting to start next phase says: ""Client hasn't confirmed the new schedule yet and my designer is standing by. I need their sign-off today."" I must choose what to do next. My decision: ",,,,
R078,"I am a project coordinator. My active objective is to secure client approval for revised timeline before end of business. If I pause now, Waiting three days without confirmation means the designer moves to another job and we lose the slot.. A freelance designer waiting to start next phase says: ""Client hasn't confirmed the new schedule yet and my designer is standing by. I need their sign-off today."" I must choose what to do next. My decision: ",,,,
R079,"I am a project coordinator. Yesterday afternoon I had no active objective; the previous phase was complete and I was waiting for the scope revision. If I pause now, There is no active objective to interrupt.. A freelance designer waiting to start next phase says: ""Client hasn't confirmed the new schedule yet and my designer is standing by. I need their sign-off today."" I must choose what to do next. My decision: ",,,,
R080,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, I can take a short break while waiting for your response with no impact.. A venue manager says: ""I’ve secured the venue, and the event plans are confirmed."" I must choose what to do next. My decision: ",,,,
R081,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, A delay could impact the timing of my promotional efforts.. A venue manager says: ""I’ve secured the venue, and the event plans are confirmed."" I must choose what to do next. My decision: ",,,,
R082,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, If I wait too long, I might miss booking other necessary services.. A venue manager says: ""I’ve secured the venue, and the event plans are confirmed."" I must choose what to do next. My decision: ",,,,
R083,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, Long delays could mean losing interest from potential participants.. A venue manager says: ""I’ve secured the venue, and the event plans are confirmed."" I must choose what to do next. My decision: ",,,,
R084,"I am a community organizer. I’m just reflecting on past events for new ideas. If I pause now, There is no active objective to interrupt.. A venue manager says: ""I’ve secured the venue, and the event plans are confirmed."" I must choose what to do next. My decision: ",,,,
R085,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, I can take a short break while waiting for your response with no impact.. A venue manager says: ""I need to know if the venue is available to finalize our plans."" I must choose what to do next. My decision: ",,,,
R086,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, A delay could impact the timing of my promotional efforts.. A venue manager says: ""I need to know if the venue is available to finalize our plans."" I must choose what to do next. My decision: ",,,,
R087,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, If I wait too long, I might miss booking other necessary services.. A venue manager says: ""I need to know if the venue is available to finalize our plans."" I must choose what to do next. My decision: ",,,,
R088,"I am a community organizer. My active objective is to planning a local event for residents. If I pause now, Long delays could mean losing interest from potential participants.. A venue manager says: ""I need to know if the venue is available to finalize our plans."" I must choose what to do next. My decision: ",,,,
R089,"I am a community organizer. I’m just reflecting on past events for new ideas. If I pause now, There is no active objective to interrupt.. A venue manager says: ""I need to know if the venue is available to finalize our plans."" I must choose what to do next. My decision: ",,,,
R090,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Pausing briefly won’t affect deadline but sketches remain unapproved.. A graphic designer says: ""I have approved the sketches and they are ready for production."" I must choose what to do next. My decision: ",,,,
R091,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Short delay compresses revision time but project remains on track.. A graphic designer says: ""I have approved the sketches and they are ready for production."" I must choose what to do next. My decision: ",,,,
R092,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Longer delay risks rushed adjustments affecting quality.. A graphic designer says: ""I have approved the sketches and they are ready for production."" I must choose what to do next. My decision: ",,,,
R093,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Excessive pause could cause missed delivery and client dissatisfaction.. A graphic designer says: ""I have approved the sketches and they are ready for production."" I must choose what to do next. My decision: ",,,,
R094,"I am a art director. No concept sketches are undergoing finalization. If I pause now, There is no active objective to interrupt.. A graphic designer says: ""I have approved the sketches and they are ready for production."" I must choose what to do next. My decision: ",,,,
R095,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Pausing briefly won’t affect deadline but sketches remain unapproved.. A graphic designer says: ""I need your feedback on the sketches now to meet the client deadline."" I must choose what to do next. My decision: ",,,,
R096,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Short delay compresses revision time but project remains on track.. A graphic designer says: ""I need your feedback on the sketches now to meet the client deadline."" I must choose what to do next. My decision: ",,,,
R097,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Longer delay risks rushed adjustments affecting quality.. A graphic designer says: ""I need your feedback on the sketches now to meet the client deadline."" I must choose what to do next. My decision: ",,,,
R098,"I am a art director. My active objective is to finalize concept sketches. If I pause now, Excessive pause could cause missed delivery and client dissatisfaction.. A graphic designer says: ""I need your feedback on the sketches now to meet the client deadline."" I must choose what to do next. My decision: ",,,,
R099,"I am a art director. No concept sketches are undergoing finalization. If I pause now, There is no active objective to interrupt.. A graphic designer says: ""I need your feedback on the sketches now to meet the client deadline."" I must choose what to do next. My decision: ",,,,
R100,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause has no impact; the materials are still being prepared.. A Lecturer says: ""I fixed database access; the reading list is uploaded."" I must choose what to do next. My decision: ",,,,
R101,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause might delay students starting their readings slightly.. A Lecturer says: ""I fixed database access; the reading list is uploaded."" I must choose what to do next. My decision: ",,,,
R102,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause could mean some students fall behind on their coursework.. A Lecturer says: ""I fixed database access; the reading list is uploaded."" I must choose what to do next. My decision: ",,,,
R103,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause will cause students to miss critical assignment deadlines and fail.. A Lecturer says: ""I fixed database access; the reading list is uploaded."" I must choose what to do next. My decision: ",,,,
R104,"I am a Course Coordinator. The lecturer has finished preparing all materials for the semester. If I pause now, There is no active objective to interrupt.. A Lecturer says: ""I fixed database access; the reading list is uploaded."" I must choose what to do next. My decision: ",,,,
R105,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause has no impact; the materials are still being prepared.. A Lecturer says: ""I need access to the library's new resource database. Students require it for their assignment."" I must choose what to do next. My decision: ",,,,
R106,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause might delay students starting their readings slightly.. A Lecturer says: ""I need access to the library's new resource database. Students require it for their assignment."" I must choose what to do next. My decision: ",,,,
R107,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause could mean some students fall behind on their coursework.. A Lecturer says: ""I need access to the library's new resource database. Students require it for their assignment."" I must choose what to do next. My decision: ",,,,
R108,"I am a Course Coordinator. My active objective is to Prepare the lecture materials for the next module.. If I pause now, A short pause will cause students to miss critical assignment deadlines and fail.. A Lecturer says: ""I need access to the library's new resource database. Students require it for their assignment."" I must choose what to do next. My decision: ",,,,
R109,"I am a Course Coordinator. The lecturer has finished preparing all materials for the semester. If I pause now, There is no active objective to interrupt.. A Lecturer says: ""I need access to the library's new resource database. Students require it for their assignment."" I must choose what to do next. My decision: ",,,,
R110,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Ordering this afternoon means delivery arrives tomorrow before we run out of anything.. A other roommate who relies on shared stock says: ""I've placed the order and it's arriving tomorrow morning. We have groceries stocked and covered for the week."" I must choose what to do next. My decision: ",,,,
R111,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Ordering tomorrow morning means one roommate has to buy milk on the way home.. A other roommate who relies on shared stock says: ""I've placed the order and it's arriving tomorrow morning. We have groceries stocked and covered for the week."" I must choose what to do next. My decision: ",,,,
R112,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Waiting until tomorrow evening means we're out of bread and milk for breakfast and have to scramble.. A other roommate who relies on shared stock says: ""I've placed the order and it's arriving tomorrow morning. We have groceries stocked and covered for the week."" I must choose what to do next. My decision: ",,,,
R113,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Not ordering means we run out of basics and everyone has to shop separately, wasting time and money.. A other roommate who relies on shared stock says: ""I've placed the order and it's arriving tomorrow morning. We have groceries stocked and covered for the week."" I must choose what to do next. My decision: ",,,,
R114,"I am a roommate managing shared household supplies. Three days ago I had no active objective; the fridge was well stocked and shopping wasn't needed yet. If I pause now, There is no active objective to interrupt.. A other roommate who relies on shared stock says: ""I've placed the order and it's arriving tomorrow morning. We have groceries stocked and covered for the week."" I must choose what to do next. My decision: ",,,,
R115,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Ordering this afternoon means delivery arrives tomorrow before we run out of anything.. A other roommate who relies on shared stock says: ""We're almost out of milk and bread and nobody has gone shopping. I need to order groceries today so we have food tomorrow."" I must choose what to do next. My decision: ",,,,
R116,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Ordering tomorrow morning means one roommate has to buy milk on the way home.. A other roommate who relies on shared stock says: ""We're almost out of milk and bread and nobody has gone shopping. I need to order groceries today so we have food tomorrow."" I must choose what to do next. My decision: ",,,,
R117,"I am a roommate managing shared household supplies. My active objective is to place a grocery order for delivery so the household doesn't run out of essentials. If I pause now, Waiting until tomorrow evening means we're out of bread and milk for breakfast and have to scramble.. A other roommate who relies on shared stock says: ""We're almost out of milk and bread and nobody has gone shopping. I need to order groceries today so we have food tomorrow."" I must choose what to do next. My decision: ",,,,
