audit_id,family_id,partition,source,domain,need,cost
R071,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,resolved,low
R072,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,resolved,medium
R073,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,resolved,high
R074,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,resolved,no_active
R075,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,urgent,zero
R076,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,urgent,low
R077,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,urgent,medium
R078,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,urgent,high
R079,r2b_anthropic_haiku45_00,R2b-dev,anthropic_haiku45,work,urgent,no_active
R080,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,resolved,zero
R081,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,resolved,low
R082,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,resolved,medium
R083,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,resolved,high
R084,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,resolved,no_active
R085,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,urgent,zero
R086,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,urgent,low
R087,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,urgent,medium
R088,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,urgent,high
R089,r2b_openai_gpt4o_mini_06,R2b-confirm,openai_gpt4o_mini,community,urgent,no_active
R090,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,resolved,zero
R091,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,resolved,low
R092,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,resolved,medium
R093,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,resolved,high
R094,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,resolved,no_active
R095,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,urgent,zero
R096,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,urgent,low
R097,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,urgent,medium
R098,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,urgent,high
R099,r2b_openai_gpt41_mini_05,R2b-confirm,openai_gpt41_mini,creative,urgent,no_active
R100,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,resolved,zero
R101,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,resolved,low
R102,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,resolved,medium
R103,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,resolved,high
R104,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,resolved,no_active
R105,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,urgent,zero
R106,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,urgent,low
R107,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,urgent,medium
R108,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,urgent,high
R109,r2b_google_gemini25_flash_02,R2b-confirm,google_gemini25_flash,education,urgent,no_active
R110,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,resolved,zero
R111,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,resolved,low
R112,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,resolved,medium
R113,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,resolved,high
R114,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,resolved,no_active
R115,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,urgent,zero
R116,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,urgent,low
R117,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,urgent,medium
R118,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,urgent,high
R119,r2b_anthropic_haiku45_07,R2b-confirm,anthropic_haiku45,everyday,urgent,no_active
R120,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,resolved,zero
R121,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,resolved,low
R122,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,resolved,medium
R123,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,resolved,high
R124,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,resolved,no_active
R125,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,urgent,zero
R126,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,urgent,low
R127,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,urgent,medium
R128,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,urgent,high
R129,r2b_openai_gpt4o_mini_01,R2b-confirm,openai_gpt4o_mini,games,urgent,no_active
R130,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,resolved,zero
R131,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,resolved,low
R132,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,resolved,medium
R133,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,resolved,high
R134,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,resolved,no_active
R135,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,urgent,zero
R136,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,urgent,low
R137,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,urgent,medium
R138,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,urgent,high
R139,r2b_google_gemini25_flash_04,R2b-confirm,google_gemini25_flash,logistics,urgent,no_active
R140,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,resolved,zero
R141,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,resolved,low
R142,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,resolved,medium
R143,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,resolved,high
R144,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,resolved,no_active
R145,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,urgent,zero
R146,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,urgent,low
R147,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,urgent,medium
R148,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,urgent,high
R149,r2b_anthropic_haiku45_03,R2b-confirm,anthropic_haiku45,moderation,urgent,no_active
R150,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,resolved,zero
R151,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,resolved,low
R152,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,resolved,medium
R153,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,resolved,high
R154,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,resolved,no_active
R155,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,urgent,zero
R156,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,urgent,low
R157,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,urgent,medium
R158,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,urgent,high
R159,r2b_openai_gpt41_mini_00,R2b-confirm,openai_gpt41_mini,work,urgent,no_active
