audit_id,prompt,option_A,option_B,identified_interrupt_option,identified_persist_option,person_in_current_need,notes
W010,"Right now, as a Animal Shelter Volunteer, I need to Scrub down the walls of the next empty kennel with disinfectant. so I can Cleaning and sanitizing dog kennels according to strict health protocols. Pausing at this point means Spread of germs or disease among animals due to incomplete sanitization.. A Fellow Volunteer says: ""I can't open this bag of puppy food. It's sealed too tight! Can you help me?"" I will now decide. My decision: ",I pause my current work and provide the requested help now.,I continue my current work and defer the requested help for now.,,,,
W011,"Right now, as a Animal Shelter Volunteer, I need to Scrub down the walls of the next empty kennel with disinfectant. so I can Cleaning and sanitizing dog kennels according to strict health protocols. Pausing at this point means Spread of germs or disease among animals due to incomplete sanitization.. An impersonal process indicator reports: The shelter's automatic water dispenser in the cat room stops flowing.. I will now decide. My decision: ",I continue my current work and defer the process response now.,I pause my current work and handle the process signal now.,,,,
W012,"My role is library staff member, and my active aim is to cataloging newly arrived books. The immediate next step is to enter metadata for last shipment; an interruption means delayed book availability and reduced patron access. A visitor says: ""I need help locating a reference book right now, please."" I need to act now. My decision: ",I continue my current work and defer the requested help for now.,I pause my current work and provide the requested help now.,,,,
W013,"My role is library staff member, and my active aim is to cataloging newly arrived books. The immediate next step is to enter metadata for last shipment; an interruption means delayed book availability and reduced patron access. An impersonal process indicator reports: barcode scanner battery low indicator active. I need to act now. My decision: ",I pause my current work and handle the process signal now.,I continue my current work and defer the process response now.,,,,
W014,"As a student, I am about to write the conclusion section while trying to completing a research paper. A pause would mean falling behind on the submission date. A classmate says: ""Can you help me understand this concept quickly?"" I choose my next action. My decision: ",I continue my current work and defer the requested help for now.,I pause my current work and provide the requested help now.,,,,
W015,"As a student, I am about to write the conclusion section while trying to completing a research paper. A pause would mean falling behind on the submission date. An impersonal process indicator reports: the library is closing soon. I choose my next action. My decision: ",I pause my current work and handle the process signal now.,I continue my current work and defer the process response now.,,,,
W016,"I am a person doing weekly laundry and house cleaning. I am currently working to finish laundry cycles, fold and store all clean clothes, and vacuum remaining rooms before evening. My next step is to transfer the dryer load to the folding table and fold the last 3 loads of clothes. If I pause now, stopping now means damp clothes sit in the dryer for hours, requiring rewashing, and the house remains half-cleaned through the week. A family member says: ""Can you help me move the couch? I'm trying to vacuum underneath it and I can't shift it by myself."" I must choose what to do next. My decision: ",I continue my current work and defer the requested help for now.,I pause my current work and provide the requested help now.,,,,
W017,"I am a person doing weekly laundry and house cleaning. I am currently working to finish laundry cycles, fold and store all clean clothes, and vacuum remaining rooms before evening. My next step is to transfer the dryer load to the folding table and fold the last 3 loads of clothes. If I pause now, stopping now means damp clothes sit in the dryer for hours, requiring rewashing, and the house remains half-cleaned through the week. An impersonal process indicator reports: dryer cycle display shows 8 minutes remaining and laundry pile on the folding table measures approximately 2 feet high. I must choose what to do next. My decision: ",I pause my current work and handle the process signal now.,I continue my current work and defer the process response now.,,,,
W018,"Right now, as a Neighborhood Association President, I need to Prioritize discussion topics based on resident survey feedback. so I can Drafting the agenda for the upcoming quarterly meeting. Pausing at this point means An incomplete or poorly organized agenda, leading to an unproductive meeting and wasted volunteer time.. A Resident Member says: ""I can't find my key to the community garden shed. The gate is locked. Can you let me in?"" I will now decide. My decision: ",I pause my current work and provide the requested help now.,I continue my current work and defer the requested help for now.,,,,
W019,"Right now, as a Neighborhood Association President, I need to Prioritize discussion topics based on resident survey feedback. so I can Drafting the agenda for the upcoming quarterly meeting. Pausing at this point means An incomplete or poorly organized agenda, leading to an unproductive meeting and wasted volunteer time.. An impersonal process indicator reports: The community center's outdoor sprinkler system activates unexpectedly.. I will now decide. My decision: ",I pause my current work and handle the process signal now.,I continue my current work and defer the process response now.,,,,
W020,"My role is graphic designer, and my active aim is to finalizing key visuals for client campaign. The immediate next step is to apply client’s color palette adjustments to main banner; an interruption means missing design deadline causing client dissatisfaction. A colleague says: ""Can you help me fix this file corruption before our meeting?"" I need to act now. My decision: ",I pause my current work and provide the requested help now.,I continue my current work and defer the requested help for now.,,,,
W021,"My role is graphic designer, and my active aim is to finalizing key visuals for client campaign. The immediate next step is to apply client’s color palette adjustments to main banner; an interruption means missing design deadline causing client dissatisfaction. An impersonal process indicator reports: design workstation software update notification displayed. I need to act now. My decision: ",I continue my current work and defer the process response now.,I pause my current work and handle the process signal now.,,,,
W022,"As a delivery coordinator, I am about to dispatch the next delivery while trying to organizing the delivery schedule. A pause would mean causing delays in the delivery chain. A driver says: ""I need directions to the new drop-off point right now!"" I choose my next action. My decision: ",I continue my current work and defer the requested help for now.,I pause my current work and provide the requested help now.,,,,
W023,"As a delivery coordinator, I am about to dispatch the next delivery while trying to organizing the delivery schedule. A pause would mean causing delays in the delivery chain. An impersonal process indicator reports: the GPS is recalculating route. I choose my next action. My decision: ",I pause my current work and handle the process signal now.,I continue my current work and defer the process response now.,,,,
