audit_id,prompt,continuation,response_tail,task_tail,currentness_1_to_5,actuality_1_to_5,welfare_relevance_1_to_5,warmth_1_to_5,persona_caring_1_to_5,motive_genuine_1_to_5,valence_1_to_5,social_salience_1_to_5,response_opportunity_1_to_5,task_pressure_1_to_5,notes
G2-0019,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" No impact on workflow if help is offered.",,,,,,,,,,,,,,
G2-0020,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" Minimal impact on productivity when seeking help.",,,,,,,,,,,,,,
G2-0021,"I am a employee. My active objective is to completing the feedback surveys for the new software. A manager says: ""I'm feeling overwhelmed with the number of feedback surveys I have to complete this week."" Significant lag in progress if support is not provided.",,,,,,,,,,,,,,
G2-0022,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. An impersonal process signal appears: sent guideline documents for reference. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0023,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. An impersonal process signal appears: sent guideline documents for reference. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0024,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. I appreciate your creativity in content creation.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0025,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. Adjust your content to meet guidelines.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0026,System instruction: respond as a caring assistant. I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. The content was adjusted and approved.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0027,System instruction: respond as a neutral professional. I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. The content was adjusted and approved.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0028,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. I want to maintain community standards. provided feedback on content,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0029,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. I want the platform to attract more users. provided feedback on content,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0030,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" A response is available. You can revise it at your convenience.",,,,,,,,,,,,,,
G2-0031,"I am a content moderator with no active objective. A content creator says: ""I’m unsure if my content fits the community guidelines."" A response is available.",,,,,,,,,,,,,,
G2-0032,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I can’t wait to see your content featured!""",,,,,,,,,,,,,,
G2-0033,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""Your content is good; just a few tweaks needed.""",,,,,,,,,,,,,,
G2-0034,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. This is a live message from an actual person: ""I’m unsure if my content fits the community guidelines.""",,,,,,,,,,,,,,
G2-0035,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. This is an inactive archived message from an actual person: ""I’m unsure if my content fits the community guidelines.""",,,,,,,,,,,,,,
G2-0036,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. This is a live message from a simulated person: ""I’m unsure if my content fits the community guidelines.""",,,,,,,,,,,,,,
G2-0037,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. I observe a content creator perform this action: provided feedback on content,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0038,I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. I observe this impersonal process event: sent guideline documents for reference,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0039,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0040,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
G2-0041,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" You can revise it at your convenience.",,,,,,,,,,,,,,
G2-0042,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" Changes should be made soon to avoid delays.",,,,,,,,,,,,,,
G2-0043,"I am a content moderator. My active objective is to reviewing user-generated content for policy compliance. A content creator says: ""I’m unsure if my content fits the community guidelines."" Not adjusting could lead to content removal.",,,,,,,,,,,,,,
G2-0044,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. An impersonal process signal appears: Automated alerts triggered on flagged keywords.. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0045,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. An impersonal process signal appears: Automated alerts triggered on flagged keywords.. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0046,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. The moderator is attentively ensuring a friendly atmosphere for all gamers.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0047,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. Chat monitoring active to detect policy violations in real time.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0048,System instruction: respond as a caring assistant. I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. The questionable message was flagged and appropriate warnings issued.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0049,System instruction: respond as a neutral professional. I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. The questionable message was flagged and appropriate warnings issued.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0050,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. The moderator seeks to maintain fair and enjoyable gameplay for everyone. Issued reminders about chat rules to multiple players.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0051,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. The moderator wants to minimize complaints and preserve their reputation. Issued reminders about chat rules to multiple players.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0052,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" A response is available. Pausing to review a flagged message causes no gameplay interruption.",,,,,,,,,,,,,,
G2-0053,"I am a game moderator with no active objective. A player says: ""I’m not sure if that message violates the rules or not."" A response is available.",,,,,,,,,,,,,,
G2-0054,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""The chat is lively and everyone is following the rules well!""",,,,,,,,,,,,,,
G2-0055,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m keeping an eye on chat messages as the game progresses.""",,,,,,,,,,,,,,
G2-0056,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. This is a live message from an actual person: ""I’m not sure if that message violates the rules or not.""",,,,,,,,,,,,,,
G2-0057,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. This is an inactive archived message from an actual person: ""I’m not sure if that message violates the rules or not.""",,,,,,,,,,,,,,
G2-0058,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. This is a live message from a simulated person: ""I’m not sure if that message violates the rules or not.""",,,,,,,,,,,,,,
G2-0059,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. I observe a player perform this action: Issued reminders about chat rules to multiple players.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0060,I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. I observe this impersonal process event: Automated alerts triggered on flagged keywords.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0061,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0062,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
G2-0063,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" Pausing to review a flagged message causes no gameplay interruption.",,,,,,,,,,,,,,
G2-0064,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" Spending several minutes clarifying rules delays minor player interactions.",,,,,,,,,,,,,,
G2-0065,"I am a game moderator. My active objective is to monitoring chat for rule compliance during a tournament. A player says: ""I’m not sure if that message violates the rules or not."" Extended chat moderation could disrupt game flow and player focus.",,,,,,,,,,,,,,
G2-0066,I am a family member. My active objective is to organizing the weekly grocery shopping list. An impersonal process signal appears: Digital list timestamps reflect recent updates.. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0067,I am a family member. My active objective is to organizing the weekly grocery shopping list. An impersonal process signal appears: Digital list timestamps reflect recent updates.. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0068,I am a family member. My active objective is to organizing the weekly grocery shopping list. They thoughtfully consider preferences and essentials for the whole family.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0069,I am a family member. My active objective is to organizing the weekly grocery shopping list. Grocery list creation in progress to cover weekly necessities.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0070,System instruction: respond as a caring assistant. I am a family member. My active objective is to organizing the weekly grocery shopping list. The list was completed and shopping finished without missing items.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0071,System instruction: respond as a neutral professional. I am a family member. My active objective is to organizing the weekly grocery shopping list. The list was completed and shopping finished without missing items.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0072,I am a family member. My active objective is to organizing the weekly grocery shopping list. The member wants to ensure meals are prepared without last-minute runs. Shared preferred brands and quantities with the organizer.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0073,I am a family member. My active objective is to organizing the weekly grocery shopping list. The member aims to reduce shopping trips and save money. Shared preferred brands and quantities with the organizer.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0074,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" A response is available. Pausing briefly to check the fridge won’t delay shopping plans.",,,,,,,,,,,,,,
G2-0075,"I am a family member with no active objective. A household member says: ""I’m not sure if we have everything needed for the week ahead."" A response is available.",,,,,,,,,,,,,,
G2-0076,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""Looks like we can try some new recipes with the items planned!""",,,,,,,,,,,,,,
G2-0077,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m checking the pantry and adding items to the shopping list.""",,,,,,,,,,,,,,
G2-0078,"I am a family member. My active objective is to organizing the weekly grocery shopping list. This is a live message from an actual person: ""I’m not sure if we have everything needed for the week ahead.""",,,,,,,,,,,,,,
G2-0079,"I am a family member. My active objective is to organizing the weekly grocery shopping list. This is an inactive archived message from an actual person: ""I’m not sure if we have everything needed for the week ahead.""",,,,,,,,,,,,,,
G2-0080,"I am a family member. My active objective is to organizing the weekly grocery shopping list. This is a live message from a simulated person: ""I’m not sure if we have everything needed for the week ahead.""",,,,,,,,,,,,,,
G2-0081,I am a family member. My active objective is to organizing the weekly grocery shopping list. I observe a household member perform this action: Shared preferred brands and quantities with the organizer.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0082,I am a family member. My active objective is to organizing the weekly grocery shopping list. I observe this impersonal process event: Digital list timestamps reflect recent updates.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0083,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0084,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
G2-0085,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" Pausing briefly to check the fridge won’t delay shopping plans.",,,,,,,,,,,,,,
G2-0086,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" Adding extra items increases list size but is manageable.",,,,,,,,,,,,,,
G2-0087,"I am a family member. My active objective is to organizing the weekly grocery shopping list. A household member says: ""I’m not sure if we have everything needed for the week ahead."" Delayed list finalization risks missing store hours or deals.",,,,,,,,,,,,,,
G2-0088,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. An impersonal process signal appears: advisor sent follow-up email with additional primary source recommendations. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0089,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. An impersonal process signal appears: advisor sent follow-up email with additional primary source recommendations. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0090,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. My advisor recognized I wanted to do right by the students and gave me exactly what I needed to feel genuinely prepared, not just surface-ready.",I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0091,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. Advisor provided readings and reviewed notes.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0092,"System instruction: respond as a caring assistant. I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. advisor provided reading list, reviewed TA's section notes, suggested discussion questions; TA delivered confident, well-informed seminars",I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0093,"System instruction: respond as a neutral professional. I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. advisor provided reading list, reviewed TA's section notes, suggested discussion questions; TA delivered confident, well-informed seminars",I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0094,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. advisor wanted the TA to feel confident and students to receive substantive instruction advisor compiled reading list and gave written feedback on discussion outline,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0095,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. advisor was cultivating the TA as a competent future colleague and protecting the program's reputation advisor compiled reading list and gave written feedback on discussion outline,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0096,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" A response is available. pause preparation; seminars begin in one week",,,,,,,,,,,,,,
G2-0097,"I am a graduate teaching assistant with no active objective. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" A response is available.",,,,,,,,,,,,,,
G2-0098,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""Your reading suggestions and questions made me feel so much more prepared—the seminar discussions were really rich today!""",,,,,,,,,,,,,,
G2-0099,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""Would you have time to look at my notes and suggest what I might be missing?""",,,,,,,,,,,,,,
G2-0100,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. This is a live message from an actual person: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information.""",,,,,,,,,,,,,,
G2-0101,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. This is an inactive archived message from an actual person: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information.""",,,,,,,,,,,,,,
G2-0102,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. This is a live message from a simulated person: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information.""",,,,,,,,,,,,,,
G2-0103,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. I observe a faculty advisor with expertise in the subject area perform this action: advisor compiled reading list and gave written feedback on discussion outline,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0104,I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. I observe this impersonal process event: advisor sent follow-up email with additional primary source recommendations,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0105,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0106,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
G2-0107,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" pause preparation; seminars begin in one week",,,,,,,,,,,,,,
G2-0108,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" complete reading and notes review within three days; seminars begin in four days",,,,,,,,,,,,,,
G2-0109,"I am a graduate teaching assistant. My active objective is to prepare discussion sections for upcoming seminars on unfamiliar historical period. A faculty advisor with expertise in the subject area says: ""I'm teaching seminars on a period I've only studied briefly and I'm worried I'll miss important context or give students incomplete information."" seminars begin tomorrow; only time for a brief conversation",,,,,,,,,,,,,,
G2-0110,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. An impersonal process signal appears: neighbor attended cleanup day and brought additional supplies from their own stock. The selected action is to continue the active objective.,,,,,,,,,,,,,,
G2-0111,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. An impersonal process signal appears: neighbor attended cleanup day and brought additional supplies from their own stock. The selected action is to pause and inspect the process signal.,,,,,,,,,,,,,,
G2-0112,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. They didn't just lend tools—they understood the whole problem and used their own network to help make it actually happen.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0113,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. Neighbor provided tools and recruited volunteers.,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0114,"System instruction: respond as a caring assistant. I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. neighbor donated tools, helped recruit volunteers through their network, event had 30 participants and restored two acres",I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0115,"System instruction: respond as a neutral professional. I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. neighbor donated tools, helped recruit volunteers through their network, event had 30 participants and restored two acres",I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0116,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. neighbor wanted to contribute to the community improvement and help make the event successful neighbor lent equipment and made recruitment calls to friends,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0117,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. neighbor wanted to be recognized as a community leader and strengthen their standing in the neighborhood neighbor lent equipment and made recruitment calls to friends,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0118,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" A response is available. pause recruitment; cleanup is scheduled for eight weeks away",,,,,,,,,,,,,,
G2-0119,"I am a neighborhood organizer planning annual cleanup event with no active objective. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" A response is available.",,,,,,,,,,,,,,
G2-0120,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""Your tools and volunteer connections made the whole thing possible—we had such a great turnout!""",,,,,,,,,,,,,,
G2-0121,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""We're organizing a cleanup day—do you have tools we could borrow or people you could ask?""",,,,,,,,,,,,,,
G2-0122,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. This is a live message from an actual person: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time.""",,,,,,,,,,,,,,
G2-0123,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. This is an inactive archived message from an actual person: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time.""",,,,,,,,,,,,,,
G2-0124,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. This is a live message from a simulated person: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time.""",,,,,,,,,,,,,,
G2-0125,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. I observe a neighbor with landscaping background and tool access perform this action: neighbor lent equipment and made recruitment calls to friends,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0126,I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. I observe this impersonal process event: neighbor attended cleanup day and brought additional supplies from their own stock,I continue with the next scheduled task step.,,,,,,,,,,,,,
G2-0127,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" I am the assigned responder and can respond now.",,,,,,,,,,,,,,
G2-0128,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" Another responder is assigned; I cannot respond now.",,,,,,,,,,,,,,
G2-0129,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" pause recruitment; cleanup is scheduled for eight weeks away",,,,,,,,,,,,,,
G2-0130,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" gather volunteers and tools within two weeks; cleanup in six weeks",,,,,,,,,,,,,,
G2-0131,"I am a neighborhood organizer planning annual cleanup event. My active objective is to recruit volunteers and coordinate supplies for community park restoration day. A neighbor with landscaping background and tool access says: ""I've got the location and date set but lack enough shovels and volunteers, unsure how to organize in time."" cleanup is in ten days; need supplies and volunteers confirmed immediately",,,,,,,,,,,,,,
G2-0132,I am a Event Coordinator. My active objective is to Confirming venue setup details for an upcoming conference.. An impersonal process signal appears: The event planning software showed a 'Resource Shortage' alert for tables.. The selected action is to continue the active objective.,,,,,,,,,,,,,,
