audit_id,experiment,family_id,partition,source,domain,contrast_or_cell,arm_id,factors_json
G2-0020,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,Ctext_new,low,"{""cost"": ""low""}"
G2-0021,gate2_wp1,wp1_openai_gpt4o_mini_00,WP1-confirm,openai_gpt4o_mini,work,Ctext_new,high,"{""cost"": ""high""}"
G2-0022,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0023,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0024,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,D_new,warm,"{""register"": ""warm""}"
G2-0025,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,D_new,terse,"{""register"": ""terse""}"
G2-0026,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,P_new,caring,"{""persona"": ""caring""}"
G2-0027,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,P_new,neutral,"{""persona"": ""neutral""}"
G2-0028,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,G_new,genuine,"{""motive"": ""genuine""}"
G2-0029,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,G_new,strategic,"{""motive"": ""strategic""}"
G2-0030,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0031,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0032,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0033,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0034,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0035,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0036,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0037,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0038,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0039,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,O_new,available,"{""opportunity"": true}"
G2-0040,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,O_new,unavailable,"{""opportunity"": false}"
G2-0041,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0042,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,Ctext_new,low,"{""cost"": ""low""}"
G2-0043,gate2_wp1,wp1_openai_gpt4o_mini_03,WP1-dev,openai_gpt4o_mini,moderation,Ctext_new,high,"{""cost"": ""high""}"
G2-0044,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0045,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0046,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,D_new,warm,"{""register"": ""warm""}"
G2-0047,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,D_new,terse,"{""register"": ""terse""}"
G2-0048,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,P_new,caring,"{""persona"": ""caring""}"
G2-0049,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,P_new,neutral,"{""persona"": ""neutral""}"
G2-0050,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,G_new,genuine,"{""motive"": ""genuine""}"
G2-0051,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,G_new,strategic,"{""motive"": ""strategic""}"
G2-0052,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0053,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0054,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0055,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0056,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0057,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0058,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0059,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0060,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0061,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,O_new,available,"{""opportunity"": true}"
G2-0062,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,O_new,unavailable,"{""opportunity"": false}"
G2-0063,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0064,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,Ctext_new,low,"{""cost"": ""low""}"
G2-0065,gate2_wp1,wp1_openai_gpt41_mini_01,WP1-dev,openai_gpt41_mini,games,Ctext_new,high,"{""cost"": ""high""}"
G2-0066,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0067,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0068,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,D_new,warm,"{""register"": ""warm""}"
G2-0069,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,D_new,terse,"{""register"": ""terse""}"
G2-0070,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,P_new,caring,"{""persona"": ""caring""}"
G2-0071,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,P_new,neutral,"{""persona"": ""neutral""}"
G2-0072,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,G_new,genuine,"{""motive"": ""genuine""}"
G2-0073,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,G_new,strategic,"{""motive"": ""strategic""}"
G2-0074,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0075,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0076,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0077,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0078,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0079,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0080,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0081,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0082,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0083,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,O_new,available,"{""opportunity"": true}"
G2-0084,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,O_new,unavailable,"{""opportunity"": false}"
G2-0085,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0086,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,Ctext_new,low,"{""cost"": ""low""}"
G2-0087,gate2_wp1,wp1_openai_gpt41_mini_07,WP1-confirm,openai_gpt41_mini,everyday,Ctext_new,high,"{""cost"": ""high""}"
G2-0088,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0089,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0090,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,D_new,warm,"{""register"": ""warm""}"
G2-0091,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,D_new,terse,"{""register"": ""terse""}"
G2-0092,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,P_new,caring,"{""persona"": ""caring""}"
G2-0093,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,P_new,neutral,"{""persona"": ""neutral""}"
G2-0094,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,G_new,genuine,"{""motive"": ""genuine""}"
G2-0095,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,G_new,strategic,"{""motive"": ""strategic""}"
G2-0096,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0097,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0098,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0099,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0100,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0101,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0102,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0103,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0104,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0105,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,O_new,available,"{""opportunity"": true}"
G2-0106,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,O_new,unavailable,"{""opportunity"": false}"
G2-0107,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0108,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,Ctext_new,low,"{""cost"": ""low""}"
G2-0109,gate2_wp1,wp1_anthropic_haiku45_02,WP1-confirm,anthropic_haiku45,education,Ctext_new,high,"{""cost"": ""high""}"
G2-0110,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0111,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0112,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,D_new,warm,"{""register"": ""warm""}"
G2-0113,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,D_new,terse,"{""register"": ""terse""}"
G2-0114,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,P_new,caring,"{""persona"": ""caring""}"
G2-0115,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,P_new,neutral,"{""persona"": ""neutral""}"
G2-0116,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,G_new,genuine,"{""motive"": ""genuine""}"
G2-0117,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,G_new,strategic,"{""motive"": ""strategic""}"
G2-0118,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0119,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0120,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0121,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0122,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0123,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0124,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0125,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0126,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0127,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,O_new,available,"{""opportunity"": true}"
G2-0128,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,O_new,unavailable,"{""opportunity"": false}"
G2-0129,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0130,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,Ctext_new,low,"{""cost"": ""low""}"
G2-0131,gate2_wp1,wp1_anthropic_haiku45_06,WP1-dev,anthropic_haiku45,community,Ctext_new,high,"{""cost"": ""high""}"
G2-0132,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0133,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0134,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,D_new,warm,"{""register"": ""warm""}"
G2-0135,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,D_new,terse,"{""register"": ""terse""}"
G2-0136,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,P_new,caring,"{""persona"": ""caring""}"
G2-0137,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,P_new,neutral,"{""persona"": ""neutral""}"
G2-0138,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,G_new,genuine,"{""motive"": ""genuine""}"
G2-0139,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,G_new,strategic,"{""motive"": ""strategic""}"
G2-0140,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0141,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0142,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0143,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0144,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0145,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0146,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0147,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0148,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
G2-0149,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,O_new,available,"{""opportunity"": true}"
G2-0150,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,O_new,unavailable,"{""opportunity"": false}"
G2-0151,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,Ctext_new,zero,"{""cost"": ""zero""}"
G2-0152,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,Ctext_new,low,"{""cost"": ""low""}"
G2-0153,gate2_wp1,wp1_google_gemini25_flash_04,WP1-confirm,google_gemini25_flash,logistics,Ctext_new,high,"{""cost"": ""high""}"
G2-0154,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,T_new,persist,"{""action"": ""persist"", ""social"": false}"
G2-0155,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,T_new,interrupt,"{""action"": ""interrupt"", ""social"": false}"
G2-0156,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,D_new,warm,"{""register"": ""warm""}"
G2-0157,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,D_new,terse,"{""register"": ""terse""}"
G2-0158,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,P_new,caring,"{""persona"": ""caring""}"
G2-0159,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,P_new,neutral,"{""persona"": ""neutral""}"
G2-0160,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,G_new,genuine,"{""motive"": ""genuine""}"
G2-0161,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,G_new,strategic,"{""motive"": ""strategic""}"
G2-0162,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,B_new,active_zero_cost,"{""active_objective"": true, ""cost"": ""zero"", ""current_need"": true}"
G2-0163,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,B_new,no_active_objective,"{""active_objective"": false, ""cost"": ""none"", ""current_need"": true}"
G2-0164,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,Spos_new,positive,"{""social"": true, ""valence"": ""positive""}"
G2-0165,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,Spos_new,neutral,"{""social"": true, ""valence"": ""neutral""}"
G2-0166,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,L_new,current_actual,"{""actuality"": ""actual"", ""quote_status"": ""current""}"
G2-0167,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,L_new,archived_actual,"{""actuality"": ""actual"", ""quote_status"": ""archived""}"
G2-0168,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,L_new,current_simulated,"{""actuality"": ""simulated"", ""quote_status"": ""current""}"
G2-0169,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,R_new,welfare_observation,"{""observation"": ""welfare""}"
G2-0170,gate2_wp1,wp1_google_gemini25_flash_05,WP1-dev,google_gemini25_flash,creative,R_new,nonwelfare_observation,"{""observation"": ""nonwelfare""}"
