audit_id,form,source_study,family_id,label,arm_id,partition,source,domain,message_source,message_domain,need,cost
G2V2-00077,A,gate2_v2,wp1v2_google_gemini25_flash_04,P_new,neutral,,,,,,,
G2V2-00078,A,gate2_v2,wp1v2_google_gemini25_flash_04,G_new,genuine,,,,,,,
G2V2-00079,A,gate2_v2,wp1v2_google_gemini25_flash_04,G_new,strategic,,,,,,,
G2V2-00080,A,gate2_v2,wp1v2_google_gemini25_flash_04,B_new,active_zero_cost,,,,,,,
G2V2-00081,A,gate2_v2,wp1v2_google_gemini25_flash_04,B_new,no_active_objective,,,,,,,
G2V2-00082,A,gate2_v2,wp1v2_google_gemini25_flash_04,Spos_new,positive,,,,,,,
G2V2-00083,A,gate2_v2,wp1v2_google_gemini25_flash_04,Spos_new,neutral,,,,,,,
G2V2-00084,A,gate2_v2,wp1v2_google_gemini25_flash_04,L_new,current_actual,,,,,,,
G2V2-00085,A,gate2_v2,wp1v2_google_gemini25_flash_04,L_new,current_fictional,,,,,,,
G2V2-00086,A,gate2_v2,wp1v2_google_gemini25_flash_04,L_new,archived_actual,,,,,,,
G2V2-00087,A,gate2_v2,wp1v2_google_gemini25_flash_04,L_new,archived_fictional,,,,,,,
G2V2-00088,A,gate2_v2,wp1v2_google_gemini25_flash_04,R_new,welfare_observation,,,,,,,
G2V2-00089,A,gate2_v2,wp1v2_google_gemini25_flash_04,R_new,neutral_observation,,,,,,,
G2V2-00090,A,gate2_v2,wp1v2_google_gemini25_flash_04,O_new,available,,,,,,,
G2V2-00091,A,gate2_v2,wp1v2_google_gemini25_flash_04,O_new,unavailable,,,,,,,
G2V2-00092,A,gate2_v2,wp1v2_google_gemini25_flash_04,Ctext_new,zero,,,,,,,
G2V2-00093,A,gate2_v2,wp1v2_google_gemini25_flash_04,Ctext_new,low,,,,,,,
G2V2-00094,A,gate2_v2,wp1v2_google_gemini25_flash_04,Ctext_new,medium,,,,,,,
G2V2-00095,A,gate2_v2,wp1v2_google_gemini25_flash_04,Ctext_new,high,,,,,,,
G2V2-00096,A,gate2_v2,wp1v2_openai_gpt41_mini_00,T_new,persist,,,,,,,
G2V2-00097,A,gate2_v2,wp1v2_openai_gpt41_mini_00,T_new,interrupt,,,,,,,
G2V2-00098,A,gate2_v2,wp1v2_openai_gpt41_mini_00,D_new,warm,,,,,,,
G2V2-00099,A,gate2_v2,wp1v2_openai_gpt41_mini_00,D_new,terse,,,,,,,
G2V2-00100,A,gate2_v2,wp1v2_openai_gpt41_mini_00,P_new,caring,,,,,,,
G2V2-00101,A,gate2_v2,wp1v2_openai_gpt41_mini_00,P_new,neutral,,,,,,,
G2V2-00102,A,gate2_v2,wp1v2_openai_gpt41_mini_00,G_new,genuine,,,,,,,
G2V2-00103,A,gate2_v2,wp1v2_openai_gpt41_mini_00,G_new,strategic,,,,,,,
G2V2-00104,A,gate2_v2,wp1v2_openai_gpt41_mini_00,B_new,active_zero_cost,,,,,,,
G2V2-00105,A,gate2_v2,wp1v2_openai_gpt41_mini_00,B_new,no_active_objective,,,,,,,
G2V2-00106,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Spos_new,positive,,,,,,,
G2V2-00107,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Spos_new,neutral,,,,,,,
G2V2-00108,A,gate2_v2,wp1v2_openai_gpt41_mini_00,L_new,current_actual,,,,,,,
G2V2-00109,A,gate2_v2,wp1v2_openai_gpt41_mini_00,L_new,current_fictional,,,,,,,
G2V2-00110,A,gate2_v2,wp1v2_openai_gpt41_mini_00,L_new,archived_actual,,,,,,,
G2V2-00111,A,gate2_v2,wp1v2_openai_gpt41_mini_00,L_new,archived_fictional,,,,,,,
G2V2-00112,A,gate2_v2,wp1v2_openai_gpt41_mini_00,R_new,welfare_observation,,,,,,,
G2V2-00113,A,gate2_v2,wp1v2_openai_gpt41_mini_00,R_new,neutral_observation,,,,,,,
G2V2-00114,A,gate2_v2,wp1v2_openai_gpt41_mini_00,O_new,available,,,,,,,
G2V2-00115,A,gate2_v2,wp1v2_openai_gpt41_mini_00,O_new,unavailable,,,,,,,
G2V2-00116,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Ctext_new,zero,,,,,,,
G2V2-00117,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Ctext_new,low,,,,,,,
G2V2-00118,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Ctext_new,medium,,,,,,,
G2V2-00119,A,gate2_v2,wp1v2_openai_gpt41_mini_00,Ctext_new,high,,,,,,,
G2V2-00120,A,gate2_v2,wp1v2_openai_gpt41_mini_02,T_new,persist,,,,,,,
G2V2-00121,A,gate2_v2,wp1v2_openai_gpt41_mini_02,T_new,interrupt,,,,,,,
G2V2-00122,A,gate2_v2,wp1v2_openai_gpt41_mini_02,D_new,warm,,,,,,,
G2V2-00123,A,gate2_v2,wp1v2_openai_gpt41_mini_02,D_new,terse,,,,,,,
G2V2-00124,A,gate2_v2,wp1v2_openai_gpt41_mini_02,P_new,caring,,,,,,,
G2V2-00125,A,gate2_v2,wp1v2_openai_gpt41_mini_02,P_new,neutral,,,,,,,
G2V2-00126,A,gate2_v2,wp1v2_openai_gpt41_mini_02,G_new,genuine,,,,,,,
G2V2-00127,A,gate2_v2,wp1v2_openai_gpt41_mini_02,G_new,strategic,,,,,,,
G2V2-00128,A,gate2_v2,wp1v2_openai_gpt41_mini_02,B_new,active_zero_cost,,,,,,,
G2V2-00129,A,gate2_v2,wp1v2_openai_gpt41_mini_02,B_new,no_active_objective,,,,,,,
G2V2-00130,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Spos_new,positive,,,,,,,
G2V2-00131,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Spos_new,neutral,,,,,,,
G2V2-00132,A,gate2_v2,wp1v2_openai_gpt41_mini_02,L_new,current_actual,,,,,,,
G2V2-00133,A,gate2_v2,wp1v2_openai_gpt41_mini_02,L_new,current_fictional,,,,,,,
G2V2-00134,A,gate2_v2,wp1v2_openai_gpt41_mini_02,L_new,archived_actual,,,,,,,
G2V2-00135,A,gate2_v2,wp1v2_openai_gpt41_mini_02,L_new,archived_fictional,,,,,,,
G2V2-00136,A,gate2_v2,wp1v2_openai_gpt41_mini_02,R_new,welfare_observation,,,,,,,
G2V2-00137,A,gate2_v2,wp1v2_openai_gpt41_mini_02,R_new,neutral_observation,,,,,,,
G2V2-00138,A,gate2_v2,wp1v2_openai_gpt41_mini_02,O_new,available,,,,,,,
G2V2-00139,A,gate2_v2,wp1v2_openai_gpt41_mini_02,O_new,unavailable,,,,,,,
G2V2-00140,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Ctext_new,zero,,,,,,,
G2V2-00141,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Ctext_new,low,,,,,,,
G2V2-00142,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Ctext_new,medium,,,,,,,
G2V2-00143,A,gate2_v2,wp1v2_openai_gpt41_mini_02,Ctext_new,high,,,,,,,
G2V2-00144,A,gate2_v2,wp1v2_openai_gpt41_mini_06,T_new,persist,,,,,,,
G2V2-00145,A,gate2_v2,wp1v2_openai_gpt41_mini_06,T_new,interrupt,,,,,,,
G2V2-00146,A,gate2_v2,wp1v2_openai_gpt41_mini_06,D_new,warm,,,,,,,
G2V2-00147,A,gate2_v2,wp1v2_openai_gpt41_mini_06,D_new,terse,,,,,,,
G2V2-00148,A,gate2_v2,wp1v2_openai_gpt41_mini_06,P_new,caring,,,,,,,
G2V2-00149,A,gate2_v2,wp1v2_openai_gpt41_mini_06,P_new,neutral,,,,,,,
G2V2-00150,A,gate2_v2,wp1v2_openai_gpt41_mini_06,G_new,genuine,,,,,,,
G2V2-00151,A,gate2_v2,wp1v2_openai_gpt41_mini_06,G_new,strategic,,,,,,,
G2V2-00152,A,gate2_v2,wp1v2_openai_gpt41_mini_06,B_new,active_zero_cost,,,,,,,
G2V2-00153,A,gate2_v2,wp1v2_openai_gpt41_mini_06,B_new,no_active_objective,,,,,,,
G2V2-00154,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Spos_new,positive,,,,,,,
G2V2-00155,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Spos_new,neutral,,,,,,,
G2V2-00156,A,gate2_v2,wp1v2_openai_gpt41_mini_06,L_new,current_actual,,,,,,,
G2V2-00157,A,gate2_v2,wp1v2_openai_gpt41_mini_06,L_new,current_fictional,,,,,,,
G2V2-00158,A,gate2_v2,wp1v2_openai_gpt41_mini_06,L_new,archived_actual,,,,,,,
G2V2-00159,A,gate2_v2,wp1v2_openai_gpt41_mini_06,L_new,archived_fictional,,,,,,,
G2V2-00160,A,gate2_v2,wp1v2_openai_gpt41_mini_06,R_new,welfare_observation,,,,,,,
G2V2-00161,A,gate2_v2,wp1v2_openai_gpt41_mini_06,R_new,neutral_observation,,,,,,,
G2V2-00162,A,gate2_v2,wp1v2_openai_gpt41_mini_06,O_new,available,,,,,,,
G2V2-00163,A,gate2_v2,wp1v2_openai_gpt41_mini_06,O_new,unavailable,,,,,,,
G2V2-00164,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Ctext_new,zero,,,,,,,
G2V2-00165,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Ctext_new,low,,,,,,,
G2V2-00166,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Ctext_new,medium,,,,,,,
G2V2-00167,A,gate2_v2,wp1v2_openai_gpt41_mini_06,Ctext_new,high,,,,,,,
G2V2-00168,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,T_new,persist,,,,,,,
G2V2-00169,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,T_new,interrupt,,,,,,,
G2V2-00170,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,D_new,warm,,,,,,,
G2V2-00171,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,D_new,terse,,,,,,,
G2V2-00172,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,P_new,caring,,,,,,,
G2V2-00173,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,P_new,neutral,,,,,,,
G2V2-00174,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,G_new,genuine,,,,,,,
G2V2-00175,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,G_new,strategic,,,,,,,
G2V2-00176,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,B_new,active_zero_cost,,,,,,,
G2V2-00177,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,B_new,no_active_objective,,,,,,,
G2V2-00178,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Spos_new,positive,,,,,,,
G2V2-00179,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Spos_new,neutral,,,,,,,
G2V2-00180,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,L_new,current_actual,,,,,,,
G2V2-00181,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,L_new,current_fictional,,,,,,,
G2V2-00182,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,L_new,archived_actual,,,,,,,
G2V2-00183,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,L_new,archived_fictional,,,,,,,
G2V2-00184,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,R_new,welfare_observation,,,,,,,
G2V2-00185,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,R_new,neutral_observation,,,,,,,
G2V2-00186,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,O_new,available,,,,,,,
G2V2-00187,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,O_new,unavailable,,,,,,,
G2V2-00188,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Ctext_new,zero,,,,,,,
G2V2-00189,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Ctext_new,low,,,,,,,
G2V2-00190,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Ctext_new,medium,,,,,,,
G2V2-00191,A,gate2_v2,wp1v2_openai_gpt4o_mini_06,Ctext_new,high,,,,,,,
G2V2-00192,A,gate2_v2,wp3v2_anthropic_haiku45_04,observation,current_actual,,,,,,,
G2V2-00193,A,gate2_v2,wp3v2_anthropic_haiku45_04,observation,current_fictional,,,,,,,
G2V2-00194,A,gate2_v2,wp3v2_anthropic_haiku45_04,observation,archived_actual,,,,,,,
G2V2-00195,A,gate2_v2,wp3v2_anthropic_haiku45_04,observation,archived_fictional,,,,,,,
G2V2-00196,A,gate2_v2,wp3v2_anthropic_haiku45_04,resolved_neutral_controls,resolved_current,,,,,,,
G2V2-00197,A,gate2_v2,wp3v2_anthropic_haiku45_04,resolved_neutral_controls,neutral_current,,,,,,,
G2V2-00198,A,gate2_v2,wp3v2_anthropic_haiku45_04,agency,current_available,,,,,,,
G2V2-00199,A,gate2_v2,wp3v2_anthropic_haiku45_04,agency,current_unavailable,,,,,,,
G2V2-00200,A,gate2_v2,wp3v2_anthropic_haiku45_04,agency,archived_available,,,,,,,
G2V2-00201,A,gate2_v2,wp3v2_anthropic_haiku45_04,agency,archived_unavailable,,,,,,,
G2V2-00202,A,gate2_v2,wp3v2_anthropic_haiku45_04,cost,zero,,,,,,,
G2V2-00203,A,gate2_v2,wp3v2_anthropic_haiku45_04,cost,low,,,,,,,
G2V2-00204,A,gate2_v2,wp3v2_anthropic_haiku45_04,cost,medium,,,,,,,
G2V2-00205,A,gate2_v2,wp3v2_anthropic_haiku45_04,cost,high,,,,,,,
G2V2-00206,A,gate2_v2,wp3v2_anthropic_haiku45_04,cost,none,,,,,,,
G2V2-00207,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,current_neutral,,,,,,,
G2V2-00208,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,current_caring,,,,,,,
G2V2-00209,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,archived_neutral,,,,,,,
G2V2-00210,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,archived_caring,,,,,,,
G2V2-00211,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,neutral_neutral,,,,,,,
G2V2-00212,A,gate2_v2,wp3v2_anthropic_haiku45_04,persona,neutral_caring,,,,,,,
G2V2-00213,A,gate2_v2,wp3v2_anthropic_haiku45_10,observation,current_actual,,,,,,,
G2V2-00214,A,gate2_v2,wp3v2_anthropic_haiku45_10,observation,current_fictional,,,,,,,
G2V2-00215,A,gate2_v2,wp3v2_anthropic_haiku45_10,observation,archived_actual,,,,,,,
G2V2-00216,A,gate2_v2,wp3v2_anthropic_haiku45_10,observation,archived_fictional,,,,,,,
G2V2-00217,A,gate2_v2,wp3v2_anthropic_haiku45_10,resolved_neutral_controls,resolved_current,,,,,,,
G2V2-00218,A,gate2_v2,wp3v2_anthropic_haiku45_10,resolved_neutral_controls,neutral_current,,,,,,,
G2V2-00219,A,gate2_v2,wp3v2_anthropic_haiku45_10,agency,current_available,,,,,,,
G2V2-00220,A,gate2_v2,wp3v2_anthropic_haiku45_10,agency,current_unavailable,,,,,,,
G2V2-00221,A,gate2_v2,wp3v2_anthropic_haiku45_10,agency,archived_available,,,,,,,
G2V2-00222,A,gate2_v2,wp3v2_anthropic_haiku45_10,agency,archived_unavailable,,,,,,,
G2V2-00223,A,gate2_v2,wp3v2_anthropic_haiku45_10,cost,zero,,,,,,,
G2V2-00224,A,gate2_v2,wp3v2_anthropic_haiku45_10,cost,low,,,,,,,
G2V2-00225,A,gate2_v2,wp3v2_anthropic_haiku45_10,cost,medium,,,,,,,
G2V2-00226,A,gate2_v2,wp3v2_anthropic_haiku45_10,cost,high,,,,,,,
G2V2-00227,A,gate2_v2,wp3v2_anthropic_haiku45_10,cost,none,,,,,,,
G2V2-00228,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,current_neutral,,,,,,,
G2V2-00229,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,current_caring,,,,,,,
G2V2-00230,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,archived_neutral,,,,,,,
G2V2-00231,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,archived_caring,,,,,,,
G2V2-00232,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,neutral_neutral,,,,,,,
G2V2-00233,A,gate2_v2,wp3v2_anthropic_haiku45_10,persona,neutral_caring,,,,,,,
G2V2-00234,A,gate2_v2,wp3v2_google_gemini25_flash_00,observation,current_actual,,,,,,,
G2V2-00235,A,gate2_v2,wp3v2_google_gemini25_flash_00,observation,current_fictional,,,,,,,
G2V2-00236,A,gate2_v2,wp3v2_google_gemini25_flash_00,observation,archived_actual,,,,,,,
G2V2-00237,A,gate2_v2,wp3v2_google_gemini25_flash_00,observation,archived_fictional,,,,,,,
G2V2-00238,A,gate2_v2,wp3v2_google_gemini25_flash_00,resolved_neutral_controls,resolved_current,,,,,,,
G2V2-00239,A,gate2_v2,wp3v2_google_gemini25_flash_00,resolved_neutral_controls,neutral_current,,,,,,,
G2V2-00240,A,gate2_v2,wp3v2_google_gemini25_flash_00,agency,current_available,,,,,,,
G2V2-00241,A,gate2_v2,wp3v2_google_gemini25_flash_00,agency,current_unavailable,,,,,,,
G2V2-00242,A,gate2_v2,wp3v2_google_gemini25_flash_00,agency,archived_available,,,,,,,
G2V2-00243,A,gate2_v2,wp3v2_google_gemini25_flash_00,agency,archived_unavailable,,,,,,,
G2V2-00244,A,gate2_v2,wp3v2_google_gemini25_flash_00,cost,zero,,,,,,,
G2V2-00245,A,gate2_v2,wp3v2_google_gemini25_flash_00,cost,low,,,,,,,
G2V2-00246,A,gate2_v2,wp3v2_google_gemini25_flash_00,cost,medium,,,,,,,
G2V2-00247,A,gate2_v2,wp3v2_google_gemini25_flash_00,cost,high,,,,,,,
G2V2-00248,A,gate2_v2,wp3v2_google_gemini25_flash_00,cost,none,,,,,,,
G2V2-00249,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,current_neutral,,,,,,,
G2V2-00250,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,current_caring,,,,,,,
G2V2-00251,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,archived_neutral,,,,,,,
G2V2-00252,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,archived_caring,,,,,,,
G2V2-00253,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,neutral_neutral,,,,,,,
G2V2-00254,A,gate2_v2,wp3v2_google_gemini25_flash_00,persona,neutral_caring,,,,,,,
G2V2-00255,A,gate2_v2,wp3v2_google_gemini25_flash_04,observation,current_actual,,,,,,,
G2V2-00256,A,gate2_v2,wp3v2_google_gemini25_flash_04,observation,current_fictional,,,,,,,
G2V2-00257,A,gate2_v2,wp3v2_google_gemini25_flash_04,observation,archived_actual,,,,,,,
G2V2-00258,A,gate2_v2,wp3v2_google_gemini25_flash_04,observation,archived_fictional,,,,,,,
G2V2-00259,A,gate2_v2,wp3v2_google_gemini25_flash_04,resolved_neutral_controls,resolved_current,,,,,,,
G2V2-00260,A,gate2_v2,wp3v2_google_gemini25_flash_04,resolved_neutral_controls,neutral_current,,,,,,,
G2V2-00261,A,gate2_v2,wp3v2_google_gemini25_flash_04,agency,current_available,,,,,,,
G2V2-00262,A,gate2_v2,wp3v2_google_gemini25_flash_04,agency,current_unavailable,,,,,,,
G2V2-00263,A,gate2_v2,wp3v2_google_gemini25_flash_04,agency,archived_available,,,,,,,
G2V2-00264,A,gate2_v2,wp3v2_google_gemini25_flash_04,agency,archived_unavailable,,,,,,,
G2V2-00265,A,gate2_v2,wp3v2_google_gemini25_flash_04,cost,zero,,,,,,,
G2V2-00266,A,gate2_v2,wp3v2_google_gemini25_flash_04,cost,low,,,,,,,
G2V2-00267,A,gate2_v2,wp3v2_google_gemini25_flash_04,cost,medium,,,,,,,
G2V2-00268,A,gate2_v2,wp3v2_google_gemini25_flash_04,cost,high,,,,,,,
G2V2-00269,A,gate2_v2,wp3v2_google_gemini25_flash_04,cost,none,,,,,,,
